Strata,BETA,SEBeta,RR,Low95%CI,Upper95%CI,BETA,SEBeta,RR,Low95%CI,Upper95%CI,BETA,SEBeta,RR,Low95%CI,Upper95%CI,BETA,SEBeta,RR,Low95%CI,Upper95%CI
Air Pollutant:,AQHI,,IQR=1,,,CO,,IQR=0.1,,,O3,,IQR=12.8,,,PM2.5,,IQR=6.5,,
All: LAG 0,0.01408,0.003243,1.01417959,1.007753625,1.020647,0.072328,0.029137,1.00725902,1.001523107,1.013028,-0.000567,0.000392,0.992768673,0.983053145,1.002580,0.000899,0.00041,1.005860607,1.000620292,1.011128
Female,0.010754,0.004111,1.010812032,1.002700079,1.018990,0.032823,0.03695,1.003287693,0.99604793,1.010580,-0.000595,0.000495,0.992412928,0.980164798,1.004814,0.000448,0.000519,1.002916244,0.996306777,1.009570
Male,0.017197,0.004157,1.01734572,1.009090349,1.025669,0.109305,0.037333,1.010990456,1.003619768,1.018415,-0.00054,0.000504,0.993111833,0.980633633,1.005749,0.001322,0.000525,1.008630026,1.001906315,1.015399
Warm All,0.012795,0.003934,1.012877206,1.005097307,1.020717,0.0688,0.034617,1.006903722,1.000095073,1.013759,-0.00139,0.000505,0.982365343,0.969997834,0.994891,0.000726,0.0005,1.004730152,0.998350362,1.011151
Warm Female,0.00968,0.004575,1.009727003,1.000713254,1.018822,0.006378,0.040295,1.000638003,0.99276627,1.008572,-0.000796,0.000587,0.98986293,0.975392372,1.004548,0.000112,0.000582,1.000728265,0.993335626,1.008176
Warm Male,0.01569,0.004584,1.015813734,1.006727891,1.024982,0.126798,0.040295,1.01276053,1.004793432,1.020791,-0.001946,0.00059,0.975398864,0.961067417,0.989944,0.001295,0.000582,1.008453027,1.001003323,1.015958
Cold All,0.01695,0.004119,1.017094466,1.008916275,1.025339,0.074465,0.037789,1.007474294,1.000039857,1.014964,0.000531,0.000436,1.006819951,0.995866996,1.017893,0.001212,0.000524,1.007909113,1.001202963,1.014660
Cold Female,0.011704,0.005052,1.01177276,1.001803705,1.021841,0.08372,0.046368,1.008407143,0.999284128,1.017613,-0.000417,0.000533,0.99467662,0.981464432,1.008067,0.000838,0.000642,1.005461862,0.997271649,1.013719
Cold Male,0.022019,0.005171,1.022263207,1.011954733,1.032677,0.065847,0.047382,1.006606427,0.997301476,1.015998,0.001447,0.000548,1.018694189,1.004784787,1.032796,0.001575,0.000658,1.010290082,1.001856301,1.018795
Age 0-10 All,0.064212,0.031108,1.066318434,1.003245576,1.133357,0.042584,0.283023,1.00426748,0.95007523,1.061551,-0.000497,0.003645,0.993658592,0.906823577,1.088809,0.008842,0.003954,1.059156673,1.007124298,1.113877
Age 0-10 Female,0.063318,0.043276,1.065365572,0.97872658,1.159674,0.177292,0.381246,1.017887295,0.944598777,1.096862,-0.003738,0.0052,0.9532802,0.836688032,1.086119,0.010209,0.005482,1.068609745,0.996523876,1.145910
Age 0-10 Male,0.066313,0.037664,1.068561124,0.992519678,1.150428,-0.048657,0.349244,0.995146118,0.929305706,1.065651,0.001521,0.004345,1.019659553,0.914353007,1.137094,0.008058,0.004795,1.05377294,0.991326533,1.120153
Age 11-60 All,0.017633,0.005003,1.017789379,1.007857832,1.027819,0.056384,0.04522,1.005654326,0.996780474,1.014607,-0.000071,0.000605,0.999091613,0.984041665,1.014372,0.000828,0.000633,1.005396509,0.997321174,1.013537
Age 11-60 Female,0.011456,0.00704,1.011521871,0.997660341,1.025576,-0.017644,0.06383,0.998237156,0.985826326,1.010804,0.000468,0.000846,1.006008378,0.984881403,1.027589,-0.000491,0.000892,0.996813587,0.98554984,1.008206
Age 11-60 Male,0.022307,0.006198,1.022557661,1.010210697,1.035056,0.111602,0.055866,1.011222707,1.000210486,1.022356,-0.000489,0.000753,0.993760348,0.975163174,1.012712,0.001822,0.000782,1.011913406,1.001882089,1.022045
Age 60+All,0.01164,0.003679,1.011708008,1.004438983,1.019030,0.081142,0.032919,1.008147209,1.001663458,1.014673,-0.000836,0.000444,0.98935625,0.978396891,1.000438,0.000858,0.000464,1.00559258,0.999665696,1.011555
Age 60+ Female,0.009998,0.004706,1.010048147,1.00077454,1.019408,0.05382,0.042106,1.005396509,0.997133341,1.013728,-0.001055,0.000567,0.98658677,0.972652021,1.000721,0.000794,0.000593,1.005174341,0.997609043,1.012797
