Strata,BETA,SEBeta,RR,Low95%CI,Upper95%CI,BETA,SEBeta,RR,Low95%CI,Upper95%CI,BETA,SEBeta,RR,Low95%CI,Upper95%CI,BETA,SEBeta,RR,Low95%CI,Upper95%CI
Air Pollutant:,AQHI,,IQR=1,,,CO,,IQR=0.1,,,O3,,IQR=12.8,,,PM2.5,,IQR=6.5,,
All: LAG 0,0.007986,0.004698,1.008017973,0.998778666,1.017343,0.03611,0.039763,1.003617528,0.995826187,1.011470,0.003539,0.00056,1.046340878,1.031743325,1.061145,0.001536,0.00058,1.010034006,1.002598169,1.017525
Female,0.007447,0.005391,1.007474798,0.9968855,1.018177,0.040801,0.045568,1.004088435,0.99516052,1.013096,0.004051,0.00064,1.053220697,1.036444888,1.070268,0.001514,0.000667,1.009889582,1.001344323,1.018508
Male,0.008507,0.004866,1.008543287,0.998970171,1.018208,0.031536,0.041244,1.003158578,0.99508191,1.011301,0.003038,0.000584,1.039652372,1.024531063,1.054997,0.001556,0.0006,1.010165319,1.002473053,1.017917
Warm All,0.004428,0.004843,1.004437818,0.994948522,1.014018,0.091263,0.039906,1.009168072,1.001305576,1.017092,0.001673,0.000625,1.021645334,1.005750873,1.037791,0.001813,0.000606,1.011854211,1.004072329,1.019696
Warm Female,0.003286,0.00535,1.003291405,0.992825858,1.013867,0.101695,0.044,1.010221385,1.001546695,1.018971,0.001807,0.000688,1.023399163,1.005886313,1.041217,0.001867,0.00067,1.012209434,1.003606187,1.020886
Warm Male,0.005515,0.005085,1.005530236,0.995558294,1.015602,0.081243,0.041985,1.008157392,0.999895245,1.016488,0.001543,0.000658,1.01994673,1.003247759,1.036924,0.001763,0.000635,1.011525412,1.003375283,1.019742
Cold All,0.012937,0.005996,1.013021045,1.001185542,1.024996,-0.078853,0.05235,0.992145707,0.982017746,1.002378,0.005799,0.000624,1.077051484,1.060321631,1.094045,0.000903,0.000738,1.005886759,0.996473612,1.015389
Cold Female,0.012797,0.006795,1.012879232,0.999478936,1.026459,-0.085222,0.059285,0.991514011,0.980059436,1.003102,0.006681,0.000706,1.089279861,1.070156257,1.108745,0.000674,0.000836,1.004390611,0.993749973,1.015145
Cold Male,0.013082,0.006045,1.013167944,1.001234561,1.025244,-0.072561,0.052831,0.992770162,0.982543191,1.003104,0.004917,0.000633,1.064960384,1.048181645,1.082008,0.001132,0.000744,1.007385137,0.997881687,1.016979
Age 0-10 All,0.017626,0.006486,1.017782255,1.004925531,1.030803,0.074342,0.053378,1.007461902,0.996976691,1.018057,0.003566,0.000783,1.046702556,1.026341868,1.067467,0.0029,0.000791,1.019028783,1.008811253,1.029350
Age 0-10 Female,0.019,0.008143,1.019181649,1.003044345,1.035579,0.091983,0.066762,1.009240734,0.996120493,1.022534,0.003346,0.000978,1.043759188,1.018461073,1.069686,0.002978,0.000993,1.019545561,1.006728717,1.032526
Age 0-10 Male,0.016646,0.007105,1.016785317,1.002723903,1.031044,0.061867,0.058606,1.006205877,0.994713945,1.017831,0.003714,0.000862,1.048687309,1.026252014,1.071613,0.002843,0.000866,1.018651303,1.007474455,1.029952
Age 11-60 All,0.005698,0.005291,1.005714264,0.995338538,1.016198,0.037732,0.04522,1.003780327,0.994923012,1.012716,0.003664,0.000629,1.048016364,1.031608101,1.064686,0.001361,0.000656,1.008885746,1.00048918,1.017353
Age 11-60 Female,0.00483,0.006145,1.004841683,0.99281176,1.017017,0.036877,0.052416,1.003694508,0.993435803,1.014059,0.00439,0.000729,1.057800762,1.038630323,1.077325,0.001425,0.000763,1.00930553,0.999541985,1.019164
Age 11-60 Male,0.006641,0.005836,1.0066631,0.99521393,1.018244,0.038761,0.049992,1.003883622,0.99409517,1.013768,0.00287,0.000697,1.037419106,1.019436133,1.055719,0.001291,0.000724,1.008426807,0.999168086,1.017771
Age 60+All,0.002346,0.005783,1.002348754,0.991051597,1.013775,-0.011526,0.049496,0.998848064,0.989204874,1.008585,0.003211,0.000691,1.04195713,1.02404963,1.060178,0.0004,0.000719,1.002603383,0.99346141,1.011829
Age 60+ Female,0.003053,0.00728,1.003057665,0.988846863,1.017473,0.002501,0.061991,1.000250131,0.988170391,1.012478,0.003873,0.000868,1.050823771,1.028187986,1.073958,0.000424,0.000907,1.002759801,0.991239419,1.014414
Age 60+ Male,0.001514,0.006928,1.001515147,0.988007609,1.015207,-0.027614,0.059635,0.997242409,0.985654038,1.008967,0.002468,0.000834,1.032094673,1.010724103,1.053917,0.000364,0.000861,1.002368801,0.991433761,1.013424
All: LAG 1,0.009597,0.004702,1.009643199,1.000381153,1.018991,0.038836,0.039627,1.003891151,0.996124238,1.011719,0.003496,0.000563,1.045765131,1.031098002,1.060641,0.001624,0.00058,1.010611911,1.00317182,1.018107
Female,0.009392,0.005396,1.009436243,0.998816541,1.020169,0.061014,0.045332,1.006120051,0.997220199,1.015099,0.00381,0.000645,1.049976728,1.033122986,1.067105,0.001721,0.000666,1.011249303,1.002705313,1.019866
Male,0.00977,0.004867,1.009817882,1.000230707,1.019497,0.017095,0.04114,1.001710962,0.993666204,1.009821,0.003189,0.000585,1.041663756,1.026487438,1.057064,0.001528,0.000601,1.009981486,1.00227785,1.017744
Warm All,0.006931,0.004835,1.006955075,0.997457637,1.016543,0.081091,0.039927,1.008142068,1.000283448,1.016062,0.001545,0.000628,1.019972841,1.00402883,1.036170,0.002057,0.000604,1.013460285,1.005691676,1.021289
Warm Female,0.004927,0.005345,1.004939158,0.994466168,1.015522,0.082455,0.04403,1.008279588,0.999615694,1.017019,0.001877,0.000693,1.02431654,1.006661707,1.042281,0.002171,0.000668,1.014211537,1.005616896,1.022880
Warm Male,0.008841,0.00507,1.008880197,0.998904401,1.018956,0.079722,0.041973,1.008004063,0.999745524,1.016331,0.001228,0.00066,1.015842584,0.999160672,1.032803,0.001948,0.000632,1.012742503,1.004620964,1.020930
Cold All,0.012588,0.006038,1.012667562,1.000753804,1.024723,-0.048536,0.051823,0.99515816,0.985101194,1.005318,0.005838,0.000626,1.077589282,1.060797848,1.094647,0.000656,0.000741,1.004273104,0.994837034,1.013799
Cold Female,0.014791,0.006847,1.014900928,1.00137182,1.028613,0.009179,0.058573,1.000918321,0.989493178,1.012475,0.006105,0.000711,1.081278352,1.062161977,1.100739,0.000603,0.000839,1.003927191,0.993253501,1.014716
Cold Male,0.010366,0.006082,1.010419913,0.998446488,1.022537,-0.106726,0.052349,0.98938415,0.979284571,0.999588,0.005569,0.000633,1.073885307,1.056965954,1.091075,0.000708,0.000748,1.004612605,0.9950846,1.014232
Age 0-10 All,0.016881,0.006469,1.017024289,1.0042106,1.030001,0.041721,0.0532,1.004180815,0.993764422,1.014706,0.003796,0.000785,1.049788589,1.029316222,1.070668,0.002584,0.000789,1.016937846,1.006766933,1.027212
Age 0-10 Female,0.015272,0.008124,1.015389213,0.999349172,1.031687,0.025054,0.066431,1.002508541,0.989540014,1.015647,0.004181,0.000979,1.054974715,1.029378938,1.081207,0.002907,0.000989,1.01907515,1.006315499,1.031997
Age 0-10 Male,0.017881,0.007083,1.018041822,1.004006324,1.032274,0.052769,0.058461,1.005290847,0.99383761,1.016876,0.003535,0.000864,1.046287307,1.023851983,1.069214,0.002357,0.000866,1.01543846,1.004296865,1.026704
Age 11-60 All,0.006029,0.0053,1.006047211,0.995650487,1.016552,0.032136,0.045085,1.003218769,0.99439272,1.012123,0.003365,0.000633,1.044013061,1.027564353,1.060725,0.001455,0.000657,1.009502363,1.001087911,1.017988
Age 11-60 Female,0.007063,0.006152,1.007088002,0.995017534,1.019305,0.05485,0.05219,1.00550007,0.995266996,1.015838,0.003925,0.000734,1.051523432,1.032337252,1.071066,0.001535,0.000763,1.010027441,1.000256913,1.019893
Age 11-60 Male,0.00489,0.005847,1.004901976,0.993451416,1.016485,0.007078,0.049876,1.000708051,0.990973093,1.010539,0.002754,0.000701,1.035879889,1.017821452,1.054259,0.001367,0.000724,1.008925093,0.999661797,1.018274
Age 60+All,0.009422,0.005786,1.009466527,0.998083279,1.020980,0.052054,0.049116,1.005218972,0.995588424,1.014943,0.003446,0.000692,1.045096055,1.02710884,1.063398,0.000944,0.000718,1.006154864,0.996993209,1.015401
Age 60+ Female,0.009319,0.007292,1.009362557,0.995039026,1.023892,0.10769,0.061395,1.010827194,0.998736379,1.023064,0.003238,0.000873,1.042317292,1.019736822,1.065398,0.001092,0.000905,1.007123251,0.995578105,1.018802
Age 60+ Male,0.009474,0.00692,1.00951902,0.995919149,1.023305,-0.011468,0.059255,0.998853857,0.987320294,1.010522,0.003674,0.00083,1.048150518,1.026550508,1.070205,0.000768,0.000859,1.005004481,0.994066016,1.016063
All: LAG2,0.012546,0.004712,1.012625031,1.003315966,1.022020,0.050169,0.039539,1.005029506,0.997270987,1.012848,0.003399,0.000565,1.044467514,1.029766914,1.059378,0.001607,0.000583,1.010500245,1.003022639,1.018034
